GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC07_EST_VC09,Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC07_MOE_VC09,Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC01_EST_VC10,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC01_MOE_VC10,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC02_EST_VC10,With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC02_MOE_VC10,With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC03_EST_VC10,With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC03_MOE_VC10,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC04_EST_VC10,With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC04_MOE_VC10,With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC05_EST_VC10,With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC05_MOE_VC10,With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC06_EST_VC10,No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC06_MOE_VC10,No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC07_EST_VC10,Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC07_MOE_VC10,Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC01_EST_VC11,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC01_MOE_VC11,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC02_EST_VC11,With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC02_MOE_VC11,With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC03_EST_VC11,With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC03_MOE_VC11,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC04_EST_VC11,With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC04_MOE_VC11,With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC05_EST_VC11,With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC05_MOE_VC11,With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC06_EST_VC11,No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC06_MOE_VC11,No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC07_EST_VC11,Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC07_MOE_VC11,Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC01_EST_VC12,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC01_MOE_VC12,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC02_EST_VC12,With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC02_MOE_VC12,With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC03_EST_VC12,With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC03_MOE_VC12,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC04_EST_VC12,With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC04_MOE_VC12,With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC05_EST_VC12,With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC05_MOE_VC12,With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC06_EST_VC12,No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC06_MOE_VC12,No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC07_EST_VC12,Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC07_MOE_VC12,Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC01_EST_VC13,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC01_MOE_VC13,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC02_EST_VC13,With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC02_MOE_VC13,With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC03_EST_VC13,With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC03_MOE_VC13,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC04_EST_VC13,With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC04_MOE_VC13,With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC05_EST_VC13,With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC05_MOE_VC13,With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC06_EST_VC13,No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC06_MOE_VC13,No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC07_EST_VC13,Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC07_MOE_VC13,Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC01_EST_VC14,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC01_MOE_VC14,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC02_EST_VC14,With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC02_MOE_VC14,With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC03_EST_VC14,With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC03_MOE_VC14,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC04_EST_VC14,With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC04_MOE_VC14,With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC05_EST_VC14,With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC05_MOE_VC14,With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC06_EST_VC14,No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC06_MOE_VC14,No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC07_EST_VC14,Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC07_MOE_VC14,Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC01_EST_VC15,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC15,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC15,With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC15,With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC15,With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_MOE_VC15,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_EST_VC15,With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_MOE_VC15,With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_EST_VC15,With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_MOE_VC15,With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC06_EST_VC15,No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC06_MOE_VC15,No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC07_EST_VC15,Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC07_MOE_VC15,Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC16,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_MOE_VC16,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC02_EST_VC16,With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC02_MOE_VC16,With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_EST_VC16,With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_MOE_VC16,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC04_EST_VC16,With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC04_MOE_VC16,With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC05_EST_VC16,With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC05_MOE_VC16,With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC06_EST_VC16,No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC06_MOE_VC16,No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC07_EST_VC16,Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC07_MOE_VC16,Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_EST_VC17,"Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_MOE_VC17,"Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_EST_VC17,"With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_MOE_VC17,"With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_EST_VC17,"With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_MOE_VC17,"With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC04_EST_VC17,"With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC04_MOE_VC17,"With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC05_EST_VC17,"With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC05_MOE_VC17,"With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC06_EST_VC17,"No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC06_MOE_VC17,"No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC07_EST_VC17,"Percent no computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC07_MOE_VC17,"Percent no computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_EST_VC20,Total; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC01_MOE_VC20,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC02_EST_VC20,With a computer  - Broadband Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC02_MOE_VC20,With a computer  - Broadband Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC03_EST_VC20,With a computer  - Percent  Broadband Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC03_MOE_VC20,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC04_EST_VC20,With a computer  - Without an Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC04_MOE_VC20,With a computer  - Without an Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC05_EST_VC20,With a computer  - Percent without an Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC05_MOE_VC20,With a computer  - Percent without an Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC06_EST_VC20,No computer in household; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC06_MOE_VC20,No computer in household; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC07_EST_VC20,Percent no computer in household; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC07_MOE_VC20,Percent no computer in household; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over
HC01_EST_VC21,Total; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC01_MOE_VC21,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC02_EST_VC21,With a computer  - Broadband Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC02_MOE_VC21,With a computer  - Broadband Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC03_EST_VC21,With a computer  - Percent  Broadband Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC03_MOE_VC21,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC04_EST_VC21,With a computer  - Without an Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC04_MOE_VC21,With a computer  - Without an Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC05_EST_VC21,With a computer  - Percent without an Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC05_MOE_VC21,With a computer  - Percent without an Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC06_EST_VC21,No computer in household; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC06_MOE_VC21,No computer in household; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC07_EST_VC21,Percent no computer in household; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC07_MOE_VC21,Percent no computer in household; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Less than high school graduate or equivalency
HC01_EST_VC22,"Total; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC01_MOE_VC22,"Total; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC02_EST_VC22,"With a computer  - Broadband Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC02_MOE_VC22,"With a computer  - Broadband Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC03_EST_VC22,"With a computer  - Percent  Broadband Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC03_MOE_VC22,"With a computer  - Percent  Broadband Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC04_EST_VC22,"With a computer  - Without an Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC04_MOE_VC22,"With a computer  - Without an Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC05_EST_VC22,"With a computer  - Percent without an Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC05_MOE_VC22,"With a computer  - Percent without an Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC06_EST_VC22,"No computer in household; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC06_MOE_VC22,"No computer in household; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC07_EST_VC22,"Percent no computer in household; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC07_MOE_VC22,"Percent no computer in household; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - High school graduate (includes equivalency), some college or associate's degree"
HC01_EST_VC23,Total; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Bachelor's degree or higher
HC01_MOE_VC23,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Bachelor's degree or higher
HC02_EST_VC23,With a computer  - Broadband Internet Subscription; Estimate; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Bachelor's degree or higher
HC02_MOE_VC23,With a computer  - Broadband Internet Subscription; Margin of Error; EDUCATIONAL ATTAINMENT - Household population 25 years and over - Bachelor's degree or higher
